transType,target,type,category
FEE,"INTEREST",CONTAINS,"Credit card interest"
PAYMENT,"Payment",CONTAINS,"Credit card payment"
SALE,"IRVING",CONTAINS,"Gas stations"
SALE,"SUNOCO",CONTAINS,"Gas stations"
SALE,"CIRCLE K",CONTAINS,"Gas stations"
SALE,"GULF OIL",CONTAINS,"Gas stations"
SALE,"CVS/PHARMACY",CONTAINS,"Groceries"
SALE,"PRICE CHOPPER",CONTAINS,"Groceries"
SALE,"DUNKIN DONUTS",CONTAINS,"Restaurant food & drink"
SALE,"AMZ*",CONTAINS,"Shopping"
SALE,"PAYPAL",CONTAINS,"Shopping"
SALE,"Audible",CONTAINS,"Digital media"
SALE,"NETFLIX.COM",CONTAINS,"Digital media"
SALE,"ITUNES.COM",CONTAINS,"Digital media"
SALE,"Kindle",CONTAINS,"Digital media"
SALE,"Amazon Digital",CONTAINS,"Digital media"
SALE,"Hulu",CONTAINS,"Digital media"
SALE,"VERIZON",CONTAINS,"Utilities"
SALE,"GEICO",CONTAINS,"Insurance"
SALE,"COMCAST",CONTAINS,"Utilities"
SALE,"AMAZON",CONTAINS,"Shopping"
